feature,importance
atr_param1,0.329196162895337
candlestick_length,0.14888903766427872
macd_hist_param1,0.12302064802665176
candlestick_length_prev_1,0.11791201933800625
obv,0.08724455977204237
adx_param2,0.06751496005640571
body_to_length_ratio_prev_2,0.0437704591553529
body_to_length_ratio_prev_1,0.04311374104713832
cci_param1,0.02547329151064597
total_bid_volume,0.013865120534141082
